Date,March 2016
Institution,Total Banks
Form Type,BA120-BA120
Values are in R'000 (thousands)

Table 01
"Description of item",,
"Interest and similar income (total of items 2~ 3 and 14~ less item 15)",001,29217149
"Shortterm negotiable securities",002,1472596
"Loans and advances to customers (total of items 4 to 13)",003,27193428
"Homeloans",004,7294682
"Commercial mortgages",005,2772783
"Credit cards",006,1486855
"Lease and instalment debtors",007,3421857
"Overdrafts",008,1565563
"Redeemable preference shares and other equivalent instruments issued to provide credit",009,397866
"Trade~ other bills and bankers' acceptances",010,42881
"Term loans",011,6827991
"Factoring accounts",012,104799
"Other",013,3278151
"Government and other dated securities",014,1920352
"Less: interest income on trading assets allocated to trading revenue",015,1369227
"Interest expense and similar charges (total of items 17~ 25 and 26~ less item 27)",016,16435316
"Deposits~ current accounts and other (total of items 18 to 20~ 23 and 24)",017,17183668
"Current accounts",018,2422257
"Savings deposits",019,818252
"Term and other deposits (total of items 21 and 22)",020,10934202
"Fixed and notice deposits",021,8477416
"Other",022,2456785
"Negotiable certificates of deposit",023,208307
"Other deposits and loans",024,2800652
"Other liabilities",025,146587
"Term debt instruments",026,1220680
"Less: interest expense on trading liabilities allocated to trading revenue",027,2115619
"Net Interest Income (item 1 less item 16)",028,12781832
Table 02
"Description of item",,
"Fee and commission income (total of items 30 to 35)",029,7898603
"Service charges",030,6071582
"Insurance commission",031,305413
"Exchange commission",032,248389
"Guarantees",033,106215
"Knowledge based fees",034,247955
"Other",035,919047
"Fee and commission expense (total of items 37 and 38)",036,1161742
"Brokerage fees paid",037,30967
"Other fees paid",038,1130776
"Net fee and commission income (item 29 less item 36)",039,6736861
"Net insurance premium revenue (total of items 41 and 42)",040,0
"Insurance premium revenue",041,
"Insurance premium ceded to reinsurers",042,
"Net reinsurance income (total of items 44 and 45)",043,0
"Gross claims and benefits paid on insurance",044,
"Reinsurance recoveries",045,
"Dividend income (total of items 47 and 48)",046,1105941
"Subsidiary companies",047,972523
"Other",048,133418
"Net trading income / (loss) (total of items 50 to 55)",049,1821777
"Foreign exchange",050,679070
"Debt securities",051,877844
"Commodities",052,-776460
"Derivative instruments",053,279663
"Equities",054,739473
"Other",055,22187
"Other gains less losses (total of items 57 to 60)",056,220158
"Fair value gains and losses through profit and loss",057,520093
"Fair value gains and losses on insurance liabilities",058,0
"Profit/ (loss) on sale of availableforsale assets",059,-299935
"Impairment of availableforsale equity securities",060,0
"Other operating income / (loss) (total of items 62 and 63)",061,-358776
"Rental income",062,170376
"Other",063,-529151
"Non Interest revenue (total of items 39~ 40~ 43~ 46~ 49~ 56 and 61)",064,9525960
"Gross operating income / (loss) (total of items 28 and 64)",065,22307792
Table 03
"Description of item",,
"Credit losses",066,3009303
"Operating expenses (total of items 68 to 76)",067,11929383
"Staff",068,6981281
"Computer processing",069,1225655
"Communication and travel",070,421303
"Occupation and accommodation",071,935064
"Marketing",072,381299
"Fees and insurances",073,763143
"Office equipment and consumables",074,323432
"Auditors remuneration",075,75807
"Other",076,822399
"Indirect taxation",077,423693
"Operating profit / (loss) before nontrading and capital items (item 65 less items 66~ 67 and 77)",078,6945413
"Nontrading and capital items (total of items 80 to 83)",079,245523
"Goodwill (impairment / realisation)",080,0
"Impairment of investments",081,-280
"Impairment of property and equipment~ software and other",082,-2088
"Other nontrading and capital items",083,247891
"Share of profit / (loss) of associates and joint ventures",084,0
"Profit / (loss) before income tax (total of items 78~ 79 and 84)",085,7190936
"Direct taxation",086,1557494
"Profit / (loss) for the year (item 85 less 86)",087,5633443
"Equity holders of the company",088,5360114
"Preference shareholders and minority shareholders interest",089,169268
"Interest received on interest bearing loans and advances as reported on line 126 of BA100",090,26573068
"Interest paid on interest bearing deposits as reported on line 127 of BA100",091,18252480
